Meme ID,url,title,Meme Page URL,MD5 Hash,File Size (In Bytes),Alternate Text,Display Name,Upper Text,Lower Text,downvotes,upvotes
10178908,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178908.jpg,first world problems,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178908,8ac1b6ce9ac29be38f3974a31c7bd8ab,29519,MONOOOO MONOOO MONITOO ME HACES TAN FELIS ...,First World Problems,MONOOOO MONOOO MONITOO,ME HACES TAN FELIS ...,97,389
10178914,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178914.jpg,Success Kid,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178914,ebdfb99459adc5060028294ae69909d0,33222,????? ?????? ?????? ???? ? ??? ??????,Success Kid,????? ?????? ?????? ????,? ??? ??????,295,461
10178947,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178947.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178947,cf988635c8ea197205506a19e380bbf1,35603,"?????????? ??, ?? ??????",Y U No,??????????,"??, ?? ??????",652,990
10178965,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178965.jpg,Anxiety Cat,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178965,8f74706809def1cc0c6818cfe2c1de8f,49292,?  ?????? ?? ????? ????? 1488 ?????!,Anxiety Cat,?  ?????? ?? ?????,????? 1488 ?????!,734,643
10178967,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178967.jpg,Socially Awkward Penguin,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178967,0b7389a2a46490fd51fddd0aa8af8aab,36373,??????? ? ????? ???????????? ??????,Socially Awkward Penguin,??????? ? ?????,???????????? ??????,598,48
10178983,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178983.jpg,Foul Bachelor Frog,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178983,0e60b338b138292ac9e0d71d3aa48d54,52019,ir a comer a otra casa... cagar sin tener ganas en tu casa para no cagar alla,Foul Bachelor Frog,ir a comer a otra casa...,cagar sin tener ganas en tu casa para no cagar alla,47,368
10178994,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178994.jpg,Futurama Fry,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178994,0ee0e0171c43ebdf007d9d608efc2bfd,43367,?? ?? ?????? ?????? ????????..,Futurama Fry,??,?? ?????? ?????? ????????..,177,385
10178995,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10178995.jpg,Yo Dawg,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10178995,dd2c0b14af7142b200e08855a481aa04,46592,???????? keep achillin'!,Yo Dawg,????????,keep achillin'!,1000,664
10179010,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179010.jpg,Foul Bachelor Frog,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179010,0e60b338b138292ac9e0d71d3aa48d54,52019,ir a comer a otra casa... cagar sin tener ganas en tu casa para no cagar alla,Foul Bachelor Frog,ir a comer a otra casa...,cagar sin tener ganas en tu casa para no cagar alla,668,463
10179019,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179019.jpg,Futurama Fry,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179019,3f5c29a98fb3edcba45e23ce6483f748,49240,????? ?????????????? ?? ???? ? ???????!,Futurama Fry,????? ??????????????,?? ???? ? ???????!,922,967
